datadate,curcd,at,lt,ni,revt
1989-05-31,AUD,19994.522,12835.044,,11098.536
1990-05-31,AUD,21620.806,13492.842,,14045.543
1991-05-31,AUD,22704.957,13607.37,,15652.286
1992-05-31,AUD,23587.636,15181.204,,14447.312
1993-05-31,AUD,26231.7,14988.1,,15933.6
1994-05-31,AUD,27720.8,14799.5,1283.8,16544.1
1995-05-31,AUD,30287.0,15480.0,1216.0,17739.0
1996-05-31,AUD,35230.0,19484.0,1046.0,19124.0
1997-05-31,AUD,36735.0,20522.0,410.0,20947.0
1998-05-31,AUD,37082.0,24673.0,-1474.0,21189.0
1999-05-31,AUD,31487.0,22126.0,-2312.0,19229.0
2000-06-30,AUD,29344.0,18339.0,1627.0,21506.0
2001-06-30,AUD,29187.0,17939.0,2007.0,20698.0
2002-06-30,USD,29862.0,16709.0,1648.0,15896.0
2003-06-30,USD,28877.0,16116.0,1860.0,15608.0
2004-06-30,USD,31179.0,15754.0,3403.0,22887.0
2005-06-30,USD,41948.0,24459.0,6398.0,29587.0
2006-06-30,USD,48516.0,24061.0,10450.0,32153.0
2007-06-30,USD,58168.0,28250.0,13416.0,39498.0
2008-06-30,USD,75889.0,36846.0,15390.0,59473.0
2009-06-30,USD,78770.0,38059.0,5877.0,50211.0
2010-06-30,USD,88852.0,39523.0,12722.0,52798.0
2011-06-30,USD,102891.0,45136.0,23648.0,71739.0
2012-06-30,USD,129273.0,62188.0,15417.0,72226.0
2013-06-30,USD,138109.0,66074.0,10876.0,65968.0
2014-06-30,USD,151413.0,66031.0,13832.0,67206.0
2015-06-30,USD,124580.0,54035.0,3422.0,44636.0
2016-06-30,USD,118953.0,58882.0,-6385.0,30912.0
2017-06-30,USD,117006.0,54280.0,5890.0,38285.0
2018-06-30,USD,111993.0,51323.0,6626.0,43638.0
2019-06-30,USD,100861.0,49037.0,8641.0,44288.0
2020-06-30,USD,104783.0,52537.0,7956.0,42931.0
2021-06-30,USD,108927.0,53322.0,11304.0,60817.0
2022-06-30,USD,95166.0,46400.0,20245.0,65098.0
2023-06-30,USD,101296.0,52766.0,12921.0,53817.0
2024-06-30,USD,102362.0,53242.0,7897.0,55658.0
2025-06-30,USD,108790.0,56572.0,9019.0,51262.0
