announcedate,keydeveventtypeid,headline
1990-09-24,80,Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.
1990-09-24,80,Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.
1990-09-24,80,Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.
1990-09-24,80,Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.
1990-11-12,81,Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.
1990-11-12,81,Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.
1990-11-12,81,Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.
1990-11-12,81,Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.
1994-01-03,95,BHP Billiton Limited(ASX:BHP) added to FTSE All-World Index (USD)
1995-11-30,80,"Announced Merger/Acquisition Transaction - Target: Magma Copper Co.; Buyer(s): BHP Billiton Ltd.; Seller(s): Morgenthaler, Warburg Pincus & Co., LLC; Transaction Size: $2281.63 mm"
1996-01-22,81,"Closed Merger/Acquisition Transaction - Target: Magma Copper Co.; Buyer(s): BHP Billiton Ltd.; Seller(s): Morgenthaler, Warburg Pincus & Co., LLC; Transaction Size: $2281.63 mm"
1996-07-01,95,BHP Billiton Limited(ASX:BHP) added to Russell Global Index
1998-03-19,80,Tesoro Petroleum Corporation agreed to acquire BHP Petroleum Americas Refining Inc. from The Broken Hill Proprietary Company Limited.
1998-05-29,81,Tesoro Petroleum Corporation completed the acquisition of BHP Petroleum Americas Refining Inc. from The Broken Hill Proprietary Company Limited.
1998-12-18,80,Broken Hill Proprietary Company Limited agreed to sell BHP Power to Duke Energy International LLC for $315 million.
1999-01-22,81,Broken Hill Proprietary Company Limited completed the sale of BHP Power to Duke Energy International LLC.
1999-04-13,80,Broken Hill Proprietary Co. Ltd. agreed to sell its interest in Bayu-Undan field to Phillips Petroleum Company.
1999-08-04,81,"The management of BHP Lifting Products, along with RMB Capital Partners, acquired BHP Lifting Products from Broken Hill Proprietary Co. for AUD 17.5 million in a management buyout."
1999-11-03,81,The Hatch Group acquired BHP Engineering.
1999-12-06,83,"BHP Group announced that it has received FRF 40 million in funding from BNP Paribas Développement SA, SCR"
1999-12-06,83,"Announced Private Placement Transaction - Target: BHP; Investor(s): Banexi Capital Partenaires, BNP Paribas Développement; Transaction Size: $6.1 mm"
2000-02-25,137,BHP Billiton Limited agreed to spin-off OneSteel Limited.
2000-03-28,42,BHP Billiton Ltd. Closes $1.2 Billion Global Revolving Credit Facility
2000-03-31,95,BHP Billiton Ltd.(ASX:BHP) added to S&P/ASX 300 Index
2000-03-31,95,BHP Billiton Ltd.(ASX:BHP) added to S&P/ASX 200 Index
2000-03-31,95,BHP Billiton Ltd.(ASX:BHP) added to S&P/ASX 200 Materials Sector Index
2000-05-24,81,The Broken Hill Proprietary Company Limited sold BHP Information Technology Proprietary Ltd. to Computer Sciences Corporation.
2000-05-25,80,"The Broken Hill Proprietary Company has agreed to sell BHP Coated Steel Corporation and BHP Steel Building Products USA, Inc. to IMSA ACERO for $234 million."
2000-05-25,80,"The Broken Hill Proprietary Company has agreed to sell BHP Steel Building Products USA, Inc. and BHP Coated Steel Corporation to IMSA ACERO for $234 million."
2000-05-26,81,"The Broken Hill Proprietary Company sold BHP Coated Steel Corporation and BHP Steel Building Products USA, Inc. to IMSA ACERO."
2000-06-01,81,BHP Billiton Limited (ASX:BHP) acquired an additional 1% stake in Samarco Mineração S.A. from Sociedade Anomima Mineracao da Trindade-Samitri.
2000-06-14,81,"The Broken Hill Proprietary Company completed the sale of BHP Steel Building Products USA, Inc. and BHP Coated Steel Corporation to IMSA ACERO."
2000-08-23,95,BHP Billiton Ltd.(ASX:BHP) added to S&P/ASX 20 Index
