statpers,fpedats,curcode,meanest,medest,numest,stdev,highest,lowest,fpi
1987-01-15,1987-05-31,AUD,0.214,0.214,5.0,0.031,0.244,0.214,2
1987-01-15,1986-05-31,AUD,0.244,0.244,6.0,0.0,0.244,0.244,1
1987-02-19,1987-05-31,AUD,0.214,0.214,7.0,0.031,0.244,0.214,1
1987-02-19,1988-05-31,AUD,0.214,0.214,4.0,0.031,0.244,0.183,2
1987-03-19,1988-05-31,AUD,0.244,0.214,5.0,0.031,0.305,0.214,2
1987-03-19,1987-05-31,AUD,0.214,0.214,7.0,0.031,0.244,0.183,1
1987-04-16,1987-05-31,AUD,0.225,0.227,8.0,0.012,0.245,0.204,1
1987-04-16,1988-05-31,AUD,0.251,0.252,6.0,0.031,0.298,0.213,2
1987-05-14,1988-05-31,AUD,0.273,0.285,7.0,0.036,0.319,0.21,2
1987-05-14,1987-05-31,AUD,0.261,0.264,10.0,0.024,0.293,0.203,1
1987-06-18,1988-05-31,AUD,0.27,0.266,9.0,0.028,0.319,0.233,2
1987-06-18,1987-05-31,AUD,0.237,0.221,11.0,0.027,0.274,0.199,1
1987-07-16,1987-05-31,AUD,0.218,0.216,12.0,0.019,0.263,0.199,1
1987-07-16,1988-05-31,AUD,0.262,0.253,10.0,0.026,0.319,0.233,2
1987-08-20,1988-05-31,AUD,0.245,0.24,10.0,0.014,0.266,0.232,2
1987-08-20,1987-05-31,AUD,0.213,0.216,14.0,0.014,0.24,0.199,1
1987-09-17,1988-05-31,AUD,0.245,0.24,11.0,0.014,0.266,0.232,2
1987-09-17,1987-05-31,AUD,0.212,0.21,14.0,0.014,0.24,0.199,1
1987-10-15,1987-05-31,AUD,0.212,0.206,13.0,0.015,0.24,0.199,1
1987-10-15,1988-05-31,AUD,0.237,0.233,10.0,0.012,0.266,0.221,2
1987-11-19,1989-05-31,AUD,0.253,0.259,7.0,0.01,0.263,0.236,2
1987-11-19,1988-05-31,AUD,0.23,0.229,14.0,0.009,0.244,0.0,1
1987-12-17,1989-05-31,AUD,0.256,0.259,12.0,0.013,0.278,0.236,2
1987-12-17,1988-05-31,AUD,0.229,0.229,16.0,0.007,0.244,0.218,1
1988-01-14,1988-05-31,AUD,0.233,0.231,16.0,0.009,0.259,0.0,1
1988-01-14,1989-05-31,AUD,0.255,0.255,12.0,0.013,0.278,0.236,2
1988-02-18,1989-05-31,AUD,0.261,0.263,15.0,0.013,0.278,0.236,2
1988-02-18,1988-05-31,AUD,0.237,0.233,19.0,0.015,0.281,0.218,1
1988-03-17,1989-05-31,AUD,0.268,0.27,15.0,0.018,0.304,0.24,2
1988-03-17,1988-05-31,AUD,0.235,0.234,20.0,0.019,0.281,0.188,1
1988-04-14,1988-05-31,AUD,0.232,0.231,21.0,0.019,0.281,0.188,1
1988-04-14,1989-05-31,AUD,0.27,0.27,16.0,0.017,0.304,0.244,2
1988-05-19,1988-05-31,AUD,0.235,0.229,23.0,0.017,0.27,0.21,1
1988-05-19,1989-05-31,AUD,0.27,0.27,17.0,0.019,0.303,0.236,2
1988-06-16,1989-05-31,AUD,0.272,0.272,20.0,0.038,0.311,0.236,2
1988-06-16,1988-05-31,AUD,0.234,0.229,22.0,0.017,0.27,0.21,1
1988-07-14,1988-05-31,AUD,0.232,0.228,23.0,0.016,0.27,0.21,1
1988-07-14,1989-05-31,AUD,0.274,0.277,17.0,0.025,0.315,0.236,2
1988-08-18,1988-05-31,AUD,0.235,0.236,23.0,0.013,0.27,0.213,1
1988-08-18,1989-05-31,AUD,0.279,0.283,20.0,0.023,0.315,0.244,2
1988-09-15,1989-05-31,AUD,0.281,0.285,20.0,0.023,0.315,0.244,1
1988-09-15,1990-05-31,AUD,0.315,0.32,6.0,0.021,0.332,0.276,2
1988-10-20,1989-05-31,AUD,0.283,0.284,21.0,0.023,0.315,0.244,1
1988-10-20,1990-05-31,AUD,0.326,0.322,9.0,0.029,0.383,0.276,2
1988-11-17,1990-05-31,AUD,0.311,0.314,13.0,0.036,0.383,0.244,2
1988-11-17,1989-05-31,AUD,0.283,0.283,20.0,0.023,0.315,0.229,1
1988-12-15,1990-05-31,AUD,0.298,0.303,15.0,0.026,0.332,0.236,2
1988-12-15,1989-05-31,AUD,0.272,0.274,19.0,0.023,0.315,0.218,1
1989-01-19,1989-05-31,AUD,0.275,0.276,18.0,0.024,0.309,0.218,1
