dlycaldt,dlyret,dlyvol,curcd,at,lt,ni,revt,meanest_fy1,meanest_fy2,medest_fy1,medest_fy2,numest_fy1,numest_fy2,stdev_fy1,stdev_fy2,highest_fy1,highest_fy2,lowest_fy1,lowest_fy2,fpedats_fy1,fpedats_fy2,curcode_fy1,curcode_fy2,mktrf,smb,hml,rmw,cma,rf,keydeveventtypeid,headline
2000-01-03,-0.025882,27900.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0071,-0.0009,-0.0131,-0.0148,-0.007,0.0002,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(81), np.int64(81), np.int64(81), np.int64(81), np.int64(95), np.int64(80), np.int64(81), np.int64(95), np.int64(80), np.int64(81), np.int64(80), np.int64(81), np.int64(80), np.int64(81), np.int64(81), np.int64(83), np.int64(83)]","['Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.', 'Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.', 'Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.', 'Newmont Australia Limited signed a merger agreement to acquire BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders for approximately AUD 480 million.', 'Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.', 'Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.', 'Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.', 'Newmont Australia Limited completed the acquisition of BHP Gold Mines Limited from Broken Hill Proprietary Co Ltd (ASX: BHP) and other shareholders.', 'BHP Billiton Limited(ASX:BHP) added to FTSE All-World Index (USD)', 'Announced Merger/Acquisition Transaction - Target: Magma Copper Co.; Buyer(s): BHP Billiton Ltd.; Seller(s): Morgenthaler, Warburg Pincus & Co., LLC; Transaction Size: $2281.63 mm', 'Closed Merger/Acquisition Transaction - Target: Magma Copper Co.; Buyer(s): BHP Billiton Ltd.; Seller(s): Morgenthaler, Warburg Pincus & Co., LLC; Transaction Size: $2281.63 mm', 'BHP Billiton Limited(ASX:BHP) added to Russell Global Index', 'Tesoro Petroleum Corporation agreed to acquire BHP Petroleum Americas Refining Inc. from The Broken Hill Proprietary Company Limited.', 'Tesoro Petroleum Corporation completed the acquisition of BHP Petroleum Americas Refining Inc. from The Broken Hill Proprietary Company Limited.', 'Broken Hill Proprietary Company Limited agreed to sell BHP Power to Duke Energy International LLC for $315 million.', 'Broken Hill Proprietary Company Limited completed the sale of BHP Power to Duke Energy International LLC.', 'Broken Hill Proprietary Co. Ltd. agreed to sell its interest in Bayu-Undan field to Phillips Petroleum Company.', 'The management of BHP Lifting Products, along with RMB Capital Partners, acquired BHP Lifting Products from Broken Hill Proprietary Co. for AUD 17.5 million in a management buyout.', 'The Hatch Group acquired BHP Engineering.', 'BHP Group announced that it has received FRF 40 million in funding from BNP Paribas Développement SA, SCR', 'Announced Private Placement Transaction - Target: BHP; Investor(s): Banexi Capital Partenaires, BNP Paribas Développement; Transaction Size: $6.1 mm']"
2000-01-04,0.036232,45800.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0406,0.0034,0.0207,0.0053,0.0136,0.0002,,
2000-01-05,0.011655,96100.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0009,0.0036,-0.0005,0.0045,0.0115,0.0002,,
2000-01-06,-0.016129,19800.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0074,-0.0004,0.0124,0.0064,0.0121,0.0002,,
2000-01-07,0.067916,119400.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,0.0321,-0.0089,-0.0157,-0.0083,-0.01,0.0002,,
2000-01-10,-0.008772,41700.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,0.0175,0.0043,-0.0135,-0.022,-0.0024,0.0002,,
2000-01-11,-0.044248,27200.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0171,0.0033,0.0091,0.009,0.012,0.0002,,
2000-01-12,0.002315,64700.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0069,-0.0022,0.0074,0.0042,0.0085,0.0002,,
2000-01-13,0.006928,37000.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,0.0159,0.0047,-0.0084,-0.0172,-0.0103,0.0002,,
2000-01-14,0.0,8500.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,0.0114,0.0022,-0.0048,-0.0034,-0.006,0.0002,,
2000-01-18,-0.018349,26100.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,-0.0025,0.0225,-0.0037,-0.015,-0.0011,0.0002,,
2000-01-19,-0.021028,17000.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.381,0.446,0.386,0.439,15.0,15.0,0.038,0.036,0.424,0.526,0.262,0.388,2000-05-31,2001-05-31,AUD,AUD,0.0044,0.0062,-0.0021,-0.0116,0.0038,0.0002,,
2000-01-20,0.026253,11300.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,-0.0037,0.0171,-0.0113,-0.011,-0.0046,0.0002,,
2000-01-21,-0.032558,22700.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,0.0023,0.0118,-0.003,-0.0139,0.0029,0.0002,,
2000-01-24,-0.028846,72400.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,-0.0259,0.0135,0.007,0.0043,0.0093,0.0002,,
2000-01-25,0.0,12600.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,0.0049,-0.0072,-0.0018,-0.0044,-0.0057,0.0002,,
2000-01-26,-0.012376,22700.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,-0.0043,0.0031,0.0007,0.0031,0.0078,0.0002,,
2000-01-27,-0.010025,18000.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,-0.0044,-0.0026,-0.0054,0.0016,-0.0002,0.0002,,
2000-01-28,-0.032911,14100.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,-0.0281,0.0027,0.0136,0.0104,0.0045,0.0002,,
2000-01-31,-0.007853,51500.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,0.0149,-0.034,-0.0013,0.0079,0.0059,0.0002,,
2000-02-01,0.002639,25800.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,0.0129,-0.0008,-0.001,-0.0049,-0.0123,0.0002,,
2000-02-02,-0.005263,25800.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,0.0015,0.0124,-0.003,-0.0103,0.0022,0.0002,,
2000-02-03,-0.010582,7500.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,0.0149,0.0099,-0.0145,-0.0096,-0.008,0.0002,,
2000-02-04,0.010695,13200.0,AUD,31487.0,22126.0,-2312.0,19229.0,0.416,0.472,0.41,0.467,15.0,15.0,0.033,0.044,0.468,0.58,0.358,0.406,2000-05-31,2001-05-31,AUD,AUD,-0.0004,0.0119,-0.0071,-0.0032,-0.002,0.0002,,
