datadate,curcd,at,lt,ni,revt
1989-12-31,AUD,2696.915,1654.229,,269.05
1990-12-31,AUD,2835.981,1776.935,,367.507
1991-12-31,AUD,2968.447,1846.228,,446.219
1992-12-31,AUD,3189.28,2142.982,,452.577
1993-12-31,AUD,3302.254,2206.363,102.926,503.451
1994-12-31,AUD,3119.339,1997.688,85.76,526.542
1995-12-31,AUD,3156.62,1995.926,120.528,609.279
1996-12-31,AUD,3015.617,1770.63,190.96,737.78
1997-12-31,AUD,3434.992,2048.437,274.901,870.075
1998-12-31,AUD,4403.498,2870.096,300.18,946.597
1999-12-31,AUD,4722.866,3031.548,331.25,988.776
2000-12-31,AUD,5968.798,3857.51,966.637,2395.22
2001-12-31,AUD,6114.866,3560.692,909.553,2394.963
2002-12-31,AUD,5010.568,2690.186,-91.992,2240.603
2003-12-31,AUD,4782.299,2348.768,526.685,2059.282
2004-12-31,AUD,5569.535,2399.04,1083.631,2158.641
2005-12-31,AUD,6969.377,3468.746,1107.427,2746.715
2006-12-31,AUD,8968.7,4766.9,1427.0,3810.4
2007-12-31,AUD,9730.0,4636.1,1269.1,3841.4
2008-12-31,AUD,14929.0,7997.0,1786.0,5990.0
2009-12-31,AUD,19874.0,9498.0,1824.0,4352.0
2010-12-31,USD,20196.0,8510.0,1575.0,4193.0
2011-12-31,USD,22740.0,9471.0,1507.0,4802.0
2012-12-31,USD,24810.0,8983.0,2983.0,6348.0
2013-12-31,USD,23770.0,7812.0,1749.0,5926.0
2014-12-31,USD,24082.0,7423.0,2414.0,7435.0
2015-12-31,USD,23839.0,8814.0,26.0,5030.0
2016-12-31,USD,24753.0,9091.0,868.0,4075.0
2017-12-31,USD,25401.0,9521.0,1024.0,3908.0
2018-12-31,USD,27088.0,8766.0,1364.0,5240.0
2019-12-31,USD,29353.0,11944.0,343.0,4873.0
2020-12-31,USD,24623.0,11748.0,-4028.0,3600.0
2021-12-31,USD,26474.0,12245.0,1983.0,6962.0
2022-12-31,USD,59321.0,22194.0,6498.0,16817.0
2023-12-31,USD,55361.0,20191.0,1660.0,13994.0
2024-12-31,USD,61264.0,25111.0,3573.0,13179.0
2025-12-31,USD,66501.0,26658.0,2718.0,12984.0
