dlycaldt,dlyprc,dlyret,dlyvol
2022-06-02,23.15,,1422570.0
2022-06-03,23.0,-0.006479,1233276.0
2022-06-06,23.76,0.033044,1651320.0
2022-06-07,24.11,0.014731,2265246.0
2022-06-08,25.02,0.037744,1899037.0
2022-06-09,24.89,-0.005196,1451446.0
2022-06-10,24.12,-0.030936,1077745.0
2022-06-13,22.55,-0.065091,1915684.0
2022-06-14,22.28,-0.011973,1508018.0
2022-06-15,22.11,-0.00763,1672895.0
2022-06-16,22.4,0.013116,1784868.0
2022-06-17,21.41,-0.044196,1580537.0
2022-06-21,22.2,0.036899,1692162.0
2022-06-22,22.03,-0.007658,1168548.0
2022-06-23,20.95,-0.049024,1145985.0
2022-06-24,21.32,0.017661,1576343.0
2022-06-27,21.81,0.022983,758906.0
2022-06-28,22.47,0.030261,898491.0
2022-06-29,22.12,-0.015576,734648.0
2022-06-30,21.56,-0.025317,1243222.0
2022-07-01,20.88,-0.03154,969518.0
2022-07-05,21.21,0.015805,888219.0
2022-07-06,20.42,-0.037247,1165184.0
2022-07-07,21.17,0.036729,933845.0
2022-07-08,21.18,0.000472,425283.0
2022-07-11,20.61,-0.026912,691557.0
2022-07-12,20.16,-0.021834,975818.0
2022-07-13,20.4,0.011905,695013.0
2022-07-14,20.46,0.002941,908261.0
2022-07-15,20.93,0.022972,708637.0
2022-07-18,22.21,0.061156,1368962.0
2022-07-19,22.64,0.019361,534578.0
2022-07-20,22.35,-0.012809,461618.0
2022-07-21,21.24,-0.049664,523833.0
2022-07-22,21.26,0.000942,393214.0
2022-07-25,21.64,0.017874,660902.0
2022-07-26,21.62,-0.000924,488347.0
2022-07-27,22.26,0.029602,460841.0
2022-07-28,22.32,0.002695,371022.0
2022-07-29,22.71,0.017473,441879.0
2022-08-01,22.6,-0.004844,568307.0
2022-08-02,22.63,0.001327,575111.0
2022-08-03,22.42,-0.00928,513268.0
2022-08-04,21.5,-0.041035,938611.0
2022-08-05,21.44,-0.002791,785647.0
2022-08-08,22.22,0.036381,631885.0
2022-08-09,22.27,0.00225,565246.0
2022-08-10,22.63,0.016165,1112137.0
2022-08-11,22.61,-0.000884,488130.0
2022-08-12,23.39,0.034498,858769.0
2022-08-15,22.74,-0.02779,354747.0
2022-08-16,22.28,-0.020229,816449.0
2022-08-17,22.05,-0.010323,365751.0
2022-08-18,22.68,0.028571,626350.0
2022-08-19,23.04,0.015873,748839.0
2022-08-22,22.7,-0.014757,860834.0
2022-08-23,24.16,0.064317,1022139.0
2022-08-24,24.23,0.002897,549333.0
2022-08-25,24.7,0.019397,651637.0
2022-08-26,24.57,-0.005263,622136.0
2022-08-29,24.66,0.003663,635537.0
