statpers,fpedats,curcode,meanest,medest,numest,stdev,highest,lowest,fpi
1987-01-15,1986-12-31,AUD,-0.01,-0.01,3.0,0.02,0.01,-0.029,1
1987-01-15,1987-12-31,AUD,-0.02,-0.02,2.0,0.042,0.01,-0.049,2
1987-02-19,1986-12-31,AUD,-0.01,-0.01,3.0,0.02,0.01,-0.029,1
1987-02-19,1987-12-31,AUD,-0.02,-0.02,2.0,0.042,0.01,-0.049,2
1987-03-19,1987-12-31,AUD,-0.02,-0.02,2.0,0.042,0.01,-0.049,2
1987-03-19,1986-12-31,AUD,-0.01,-0.01,3.0,0.02,0.01,-0.029,1
1987-04-16,1986-12-31,AUD,-0.01,-0.01,2.0,0.028,0.01,-0.029,1
1987-04-16,1987-12-31,AUD,-0.02,-0.02,2.0,0.042,0.01,-0.049,2
1987-05-14,1986-12-31,AUD,-0.01,-0.01,2.0,0.028,0.01,-0.029,1
1987-05-14,1987-12-31,AUD,-0.02,-0.02,2.0,0.042,0.01,-0.049,2
1987-06-18,1988-12-31,AUD,-0.049,-0.049,1.0,,-0.049,-0.049,2
1987-06-18,1987-12-31,AUD,-0.02,-0.02,2.0,0.042,0.01,-0.049,1
1987-07-16,1988-12-31,AUD,-0.049,-0.049,1.0,,-0.049,-0.049,2
1987-07-16,1987-12-31,AUD,-0.049,-0.049,1.0,,-0.049,-0.049,1
1987-08-20,1988-12-31,AUD,0.039,0.039,1.0,,0.039,0.039,2
1987-08-20,1987-12-31,AUD,0.029,0.029,1.0,,0.029,0.029,1
1987-09-17,1988-12-31,AUD,0.039,0.039,3.0,0.029,0.069,0.01,2
1987-09-17,1987-12-31,AUD,0.034,0.034,2.0,0.007,0.039,0.029,1
1987-10-15,1987-12-31,AUD,0.034,0.034,2.0,0.007,0.039,0.029,1
1987-10-15,1988-12-31,AUD,0.054,0.054,2.0,0.021,0.069,0.039,2
1987-11-19,1987-12-31,AUD,0.018,0.015,4.0,0.02,0.039,0.0,1
1987-11-19,1988-12-31,AUD,0.025,0.01,5.0,0.028,0.069,0.0,2
1987-12-17,1988-12-31,AUD,0.027,0.02,4.0,0.03,0.069,0.0,2
1987-12-17,1987-12-31,AUD,0.023,0.029,3.0,0.02,0.039,0.0,1
1988-01-14,1988-12-31,AUD,0.036,0.029,3.0,0.029,0.069,0.01,2
1988-01-14,1987-12-31,AUD,0.034,0.034,2.0,0.007,0.039,0.029,1
